label,mean_intensity,std_intensity,edge_mean,no_edge,vertical_edge_strength,diag45_edge_strength,horizontal_edge_strength,diag135_edge_strength,num_contours,max_circularity,mean_circularity,frac_circular_contours,num_lines,avg_line_length,vertical_line_count,horizontal_line_count,diagonal_line_count,num_blobs
5,0.1376800686120987,0.3123483657836914,31.549744897959183,570.0,22.0,110.0,49.0,33.0,1.0,0.04321399979103648,0.04321399979103648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.1555372178554535,0.328969269990921,34.80229591836735,551.0,84.0,74.0,31.0,44.0,1.0,0.8360178827266794,0.8360178827266794,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.09725390374660492,0.257175475358963,27.321428571428573,593.0,84.0,42.0,26.0,39.0,1.0,0.14968260416705104,0.14968260416705104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08570928126573563,0.25913289189338684,19.51530612244898,658.0,98.0,13.0,8.0,7.0,1.0,0.33557578440643937,0.33557578440643937,0.0,1.0,21.95449840010015,0.0,0.0,1.0,0.0
9,0.11611644923686981,0.29165220260620117,26.345663265306122,604.0,58.0,54.0,22.0,46.0,1.0,0.008660540293755707,0.008660540293755707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.14806421101093292,0.3180576264858246,33.17602040816327,548.0,41.0,112.0,46.0,37.0,1.0,0.25096403078030666,0.25096403078030666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0882653146982193,0.26604562997817993,14.96173469387755,669.0,22.0,7.0,8.0,78.0,1.0,0.3941727252227925,0.3941727252227925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1794067621231079,0.3530063033103943,31.549744897959183,547.0,43.0,94.0,66.0,34.0,1.0,0.20884562565844156,0.20884562565844156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05439175292849541,0.20633408427238464,13.010204081632653,685.0,30.0,5.0,4.0,60.0,1.0,0.2993652074941144,0.2993652074941144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.10956382751464844,0.2806204557418823,27.646683673469386,601.0,106.0,40.0,15.0,22.0,1.0,0.2083348804008153,0.2083348804008153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.14279711246490479,0.3240368366241455,24.71938775510204,606.0,46.0,35.0,46.0,51.0,1.0,0.29508801224717185,0.29508801224717185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
